address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
Ijburglaan 586,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28388,28388,52.35782,4.9898743629456,Amsterdam,Zanzibar Bar Privé,3.0,4d4e8f36db1b3704acc00e1f,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28388,Bar,Nightlife,0.43
Reimerswaalstraat 5,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28721,28721,52.362382,4.794656,Amsterdam,Tulip Inn Amsterdam City West,3.0,4a2706e1f964a520498c1fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28721,Hotel Bar,Nightlife,0.59
Nieuw Zeelandweg,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28758,28758,52.404464996398,4.8021473246544,Amsterdam,Amsterdam Chapter,1.0,4d3884b4fe80a1cd41c2859f,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28758,Bar,Nightlife,0.62
Osdorpplein 801,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28794,28794,52.358039032667,4.8051258066514,Amsterdam,Café Fly-Inn,2.0,4e6220f01495676d5596de26,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28794,Bar,Nightlife,-0.37
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28875,28875,52.342722,4.813273,Amsterdam,bastenaken sports cafe,1.0,519269f6498e54de724b3b93,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28875,Sports Bar,Nightlife,0.57
Slotermeerlaan 75-77,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28931,28931,52.375366103943,4.8202258294336,Amsterdam,Bar Content,3.0,4a270005f964a520e7811fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28931,Bar,Nightlife,0.33
Sloterweg 712,attraction,http://tour-pedia.org/api/getPlaceDetails?id=28953,28953,52.342606,4.820354,Amsterdam,De Oase,3.0,4c56de9f1ec29521cc38ccfc,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28953,Wine Bar,Nightlife,0.33
Oostoever 1,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29014,29014,52.370111,4.830085,Amsterdam,Café Terras Oostoever,4.0,4a26ff77f964a520d37f1fe3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29014,Dive Bar,Nightlife,-0.01
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29030,29030,52.357795940689,4.8340068563054,Amsterdam,Leox,1.0,4eb803d7469073bbc73a2e86,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29030,Hookah Bar,Nightlife,-0.01
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29045,29045,52.394139016628,4.8370045443156,Amsterdam,Freshmen Media Cocktailcorner,1.0,50632cb3e4b0bda2ce38a8a6,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29045,Cocktail Bar,Nightlife,0.64
Jan Tooropstraat 41,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29088,29088,52.363383,4.836514,Amsterdam,Kleine Nachtwacht,2.0,4a270022f964a52055821fe3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29088,Bar,Nightlife,0.64
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29180,29180,52.388104,4.84679,Amsterdam,Spaarndammerdijkie 💙,1.0,5220b0b111d2a89757d55d65,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29180,Wine Bar,Nightlife,0.64
Jan Evertsenstraat 143,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29209,29209,52.370097029727,4.8494338989258,Amsterdam,"Café Knibbel, Knabbel, Knuisje",2.0,4a26ff71f964a520bb7f1fe3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29209,Bar,Nightlife,0.64
Rietwijkerstraat 34,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29229,29229,52.349481,4.848898,Amsterdam,The Magpie,1.0,4a270013f964a52020821fe3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29229,Bar,Nightlife,0.64
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29256,29256,52.338151468134,4.8488302534828,Amsterdam,Het Trefpunt,1.0,4ee3efb893adf8e1a72f0202,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29256,Cocktail Bar,Nightlife,0.64
Bos en Lommerweg 259HS,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29299,29299,52.378605,4.850439,Amsterdam,Café 't Lommertje,8.0,4a26ffdaf964a52042811fe3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29299,Bar,Nightlife,0.22
Admiraal de Ruijterweg 270,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29304,29304,52.379269450828,4.8567649819077,Amsterdam,De Fluiter,4.0,4a26ffc9f964a520fa801fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29304,Bar,Nightlife,0.22
Bos en Lommerweg 133,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29307,29307,52.381572160124,4.8563861846924,Amsterdam,'t Binnepretje,2.0,4a26ffebf964a5207b811fe3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29307,Bar,Nightlife,0.22
Jan van Galenstraat,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29313,29313,52.374637301883,4.8577385481738,Amsterdam,Cafe Sportpark,6.0,4bc0b9a42a89ef3b6d00f188,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29313,Bar,Nightlife,0.62
Sloterkade 1/A,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29324,29324,52.357790998787,4.8542944797031,Amsterdam,Caffe Oslo,33.0,4a26ffebf964a52079811fe3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29324,Bar,Nightlife,0.18
Sophialaan 36,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29331,29331,52.352335,4.856572,Amsterdam,Café Bedier,13.0,4a26ff8cf964a52015801fe3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29331,Bar,Nightlife,0.38
Rhijnvis Feithstraat 9,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29332,29332,52.360592,4.8593609777778,Amsterdam,Figuranten Bar,4.0,4a7c535af964a52040ec1fe3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29332,Bar,Nightlife,0.72
Amstelveenseweg 69,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29339,29339,52.35359658,4.855793,Amsterdam,Café Hans,5.0,4a26ffa3f964a52077801fe3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29339,Bar,Nightlife,0.48
Stadionplein 5,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29366,29366,52.344735134606,4.8576221516062,Amsterdam,Borrelbar,1.0,4bc9e62c68f976b036135e83,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29366,Bar,Nightlife,0.48
Bos en Lommer,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29401,29401,52.380843789481,4.8540490959263,Amsterdam,'t Sterntje,1.0,4d8e0891788c548108b82efd,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29401,Bar,Nightlife,0.48
Marathonweg 1-3-5,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29428,29428,52.348562,4.860709,Amsterdam,Marathonweg - coffee - grill - bar,4.0,51dc526b498e2448c29fa143,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29428,Bar,Nightlife,0.75
Olympiaplein 132,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29433,29433,52.346410162849,4.86571777582,Amsterdam,De Hut,9.0,4a26ffc3f964a520e7801fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29433,Bar,Nightlife,0.32
Gustav Mahlerlaan 3004,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29443,29443,52.336101,4.861546,Amsterdam,ActaBar,1.0,4d41aed0c1d4721e790d1cc7,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29443,Bar,Nightlife,0.32
Nicolaas Beetsstraat 142,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29517,29517,52.362058,4.867719,Amsterdam,Cafe De Toog,8.0,4a26ff57f964a520247f1fe3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29517,Bar,Nightlife,0.2
Bilderdijkstraat 165/E,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29520,29520,52.367652,4.871866,Amsterdam,Vereniging De Trut,3.0,4a2705dcf964a5201d891fe3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29520,Gay Bar,Nightlife,0.51
Potgieterstraat 35HS,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29521,29521,52.369553941091,4.8736795872886,Amsterdam,Bar Berlijn,10.0,4a26ffa8f964a52084801fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29521,Bar,Nightlife,0.69
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29530,29530,52.35451847559,4.8722201939405,Amsterdam,Verhulst,1.0,4f50f566e4b07af68e222b2b,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29530,Bar,Nightlife,0.69
Claude Debussylaan 78,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29533,29533,52.337434304281,4.8710056578753,Amsterdam,Oliver's,6.0,4c00033ff61ea593a128eb13,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29533,Cocktail Bar,Nightlife,0.32
Danzigerkade 13,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29577,29577,52.39744,4.8776,Amsterdam,Dok 13,3.0,4fa94a81e4b08ab44fda1801,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29577,Bar,Nightlife,0.93
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29578,29578,52.397359689579,4.8775696103455,Amsterdam,Dock 2013,3.0,4fdbabbde4b0f86f6ace115f,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29578,Bar,Nightlife,0.72
Spaarndammerstraat 792,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29584,29584,52.390927194818,4.8782619458733,Amsterdam,Cafe 't Hoekje,1.0,4c74369ac219224b85369f28,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29584,Bar,Nightlife,0.64
De Wittenstraat 100,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29599,29599,52.383019833326,4.8782024772794,Amsterdam,Zaal 100,7.0,4ad3b1fcf964a520b1e520e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29599,Dive Bar,Nightlife,0.33
Westerstraat 120,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29601,29601,52.378396,4.883222,Amsterdam,'t Monumentje,1.0,4a270024f964a5205a821fe3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29601,Bar,Nightlife,0.03
Marnixstraat 164-166,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29604,29604,52.372891137547,4.8758102977549,Amsterdam,Sound Garden,35.0,4a26ffdbf964a52045811fe3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29604,Dive Bar,Nightlife,0.37
Tweede Tuindwarsstraat 13,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29606,29606,52.377145,4.88195064,Amsterdam,Café De Tuin,19.0,4d9e0c65a695721edcc01f0d,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29606,Bar,Nightlife,0.52
Rozengracht 28,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29607,29607,52.373789,4.881809,Amsterdam,De Gouden Florijn,3.0,4a270021f964a5204f821fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29607,Bar,Nightlife,0.71
Nieuwe Leliestraat 83,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29608,29608,52.375287736713,4.8809294587653,Amsterdam,De Nieuwe Lelie,4.0,4a270038f964a520b8821fe3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29608,Bar,Nightlife,0.24
Elandsstraat 119-HS,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29610,29610,52.37029772167,4.8801768130028,Amsterdam,Saarein,5.0,4a27006ef964a52070831fe3,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29610,Gay Bar,Nightlife,0.41
Elandsgracht 84,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29611,29611,52.36959,4.88057,Amsterdam,Bar Oldenhof,6.0,50215e2fe4b06e038f36087c,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29611,Cocktail Bar,Nightlife,0.4
Marnixstraat 403,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29620,29620,52.364831,4.880536,Amsterdam,Lux,16.0,4a26ff9bf964a52059801fe3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29620,Bar,Nightlife,0.47
Marnixstraat 397,attraction,http://tour-pedia.org/api/getPlaceDetails?id=29623,29623,52.364933,4.880492,Amsterdam,Weber,12.0,4a26ff6af964a5208d7f1fe3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=29623,Bar,Nightlife,0.32
