address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
Carrer D'Aribau 162-166,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129488,129488,41.392602290309,2.1541397621001,Barcelona,Dry Martini,69.0,4adcda4df964a520084021e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129488,Cocktail Bar,Nightlife,0.48
Carrer d'Aribau 77,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129513,129513,41.389429062209,2.1580060860493,Barcelona,Espit Chupitos,44.0,4adcda4ef964a5204d4021e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129513,Cocktail Bar,Nightlife,0.44
Passatge de la Banca 5,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129526,129526,41.377240351811,2.1772035155317,Barcelona,El Bosc de les Fades,74.0,4adcda4ef964a520844021e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129526,Cocktail Bar,Nightlife,0.41
"Moll Mestral, 26-27-28",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129528,129528,41.387986,2.199127,Barcelona,Kennedy Irish Sailing Club,11.0,4adcda4ef964a5208d4021e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129528,Bar,Nightlife,0.6
"C. Manuel Arnús, 2",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129530,129530,41.41621229144,2.1323631272185,Barcelona,Mirabé,20.0,4adcda4ef964a520974021e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129530,Bar,Nightlife,0.01
Carrer de la Princesa 23,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129531,129531,41.385267139399,2.1803422894306,Barcelona,Princesa 23,60.0,4adcda4ff964a5209a4021e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129531,Bar,Nightlife,0.27
Gignas 25,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129536,129536,41.38181103081,2.1805246713967,Barcelona,La Cerveteca,39.0,4adcda4ff964a520a54021e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129536,Bar,Nightlife,0.5
Comerç 21,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129541,129541,41.386408897255,2.1824973235331,Barcelona,Mix,10.0,4adcda4ff964a520ba4021e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129541,Bar,Nightlife,0.3
Carrer de les Sitges 5,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129543,129543,41.384415999244,2.1693767313001,Barcelona,L’Ovella Negra,85.0,4adcda4ff964a520cb4021e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129543,Bar,Nightlife,0.41
Carrer de Santaló 46,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129655,129655,41.395998578604,2.1452307701111,Barcelona,Gimlet,22.0,4adcda53f964a5207e4221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129655,Cocktail Bar,Nightlife,0.41
Carrer Verdaguer i Callís 12,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129722,129722,41.387156069771,2.176094918315,Barcelona,L'Antic Teatre,45.0,4adcda58f964a520bf4321e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129722,Bar,Nightlife,0.58
Carrer Sant Pau 119,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129758,129758,41.375370177331,2.1678700755877,Barcelona,La Confitería,34.0,4af59dd1f964a5205ffa21e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129758,Bar,Nightlife,0.47
Mandri 58,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129762,129762,41.404837,2.132054,Barcelona,Bar Mandri,31.0,4b032354f964a520f24c22e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129762,Cocktail Bar,Nightlife,0.95
C/ Atenes 27,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129780,129780,41.403832,2.140346,Barcelona,Ars billares,6.0,4b17a781f964a520dac623e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129780,Sports Bar,Nightlife,0.95
"C/ Fontrodona, 35",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129791,129791,41.372381622994,2.1666945353048,Barcelona,Maumau,18.0,4b1e2691f964a520a01724e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129791,Cocktail Bar,Nightlife,0.74
Muntaner 240 - 242,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129793,129793,41.394125,2.1494108081414,Barcelona,Cafe Berlin,22.0,4b2103aef964a520063624e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129793,Bar,Nightlife,0.26
"Ronda Universitat, 35",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129848,129848,41.387133011603,2.1677693137887,Barcelona,Milano,58.0,4b511f4df964a520924327e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129848,Cocktail Bar,Nightlife,0.54
Finlandia 18,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129892,129892,41.3744257,2.13539148,Barcelona,La Tapadera,15.0,4b5b3ab4f964a520e0ec28e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129892,Bar,Nightlife,0.71
Plaça de Joaquim Folguera 2,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129937,129937,41.4056,2.139235,Barcelona,Cafeteria El Roble,9.0,4b61d1daf964a52005252ae3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129937,Bar,Nightlife,0.71
La Rambla 116,attraction,http://tour-pedia.org/api/getPlaceDetails?id=129942,129942,41.382907972467,2.1717471771011,Barcelona,Patagonia Bar,16.0,4b622674f964a520a2382ae3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129942,Cocktail Bar,Nightlife,0.36
"Carrer de Torrijos, 66-72",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129952,129952,41.404116,2.158189,Barcelona,Chatelet Bar,41.0,4b633f71f964a520626d2ae3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129952,Cocktail Bar,Nightlife,0.5
"Torrent de l'Olla, 113",attraction,http://tour-pedia.org/api/getPlaceDetails?id=129971,129971,41.402445325,2.156856,Barcelona,St. Germain,27.0,4b6470bcf964a52056b32ae3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129971,Bar,Nightlife,0.32
Rabassa 37,attraction,http://tour-pedia.org/api/getPlaceDetails?id=130058,130058,41.407813,2.157898,Barcelona,Gatamala,30.0,4b6d7a8cf964a5202a772ce3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130058,Bar,Nightlife,0.62
"Providencia, 88",attraction,http://tour-pedia.org/api/getPlaceDetails?id=130140,130140,41.408088534521,2.1593780873696,Barcelona,Un lugar de Gràcia,6.0,4b752c7ef964a52016002ee3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130140,Bar,Nightlife,0.15
"C. de Zamora, 78",attraction,http://tour-pedia.org/api/getPlaceDetails?id=130148,130148,41.395922119574,2.1902167797089,Barcelona,L'Ovella Negra,38.0,4b756ceff964a520db0b2ee3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130148,Bar,Nightlife,0.47
plaza olivereta 31,attraction,http://tour-pedia.org/api/getPlaceDetails?id=130322,130322,41.372776,2.128758,Barcelona,Mson,2.0,4b804cb5f964a520b56530e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130322,Bar,Nightlife,0.47
Alfambra 14,attraction,http://tour-pedia.org/api/getPlaceDetails?id=130483,130483,41.386601,2.112522,Barcelona,Bar Versalles,1.0,4b8fb377f964a520cb5d33e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130483,Bar,Nightlife,0.47
Carrer dels Còdols 29,attraction,http://tour-pedia.org/api/getPlaceDetails?id=130557,130557,41.379337268528,2.1787152829924,Barcelona,Polaroid Bar,43.0,4b963a2ff964a52071c134e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130557,Bar,Nightlife,0.49
"Francesc Tàrrega, 22",attraction,http://tour-pedia.org/api/getPlaceDetails?id=130569,130569,41.422641084096,2.1803998947144,Barcelona,Coctelería Torre Rosa,33.0,4b96c0c1f964a5204ce234e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=130569,Cocktail Bar,Nightlife,0.93
