address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
Capitol Hotel,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114470,114470,25.241846,55.275347,Dubai,Bazerkan Resturant,1.0,4b0587ecf964a52001a722e3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114470,Bar,Nightlife,-0.2
Baniyas Street/Creek Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114471,114471,25.261825915824,55.313784764314,Dubai,Chelsea Arms,2.0,4b0587ecf964a52002a722e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114471,Bar,Nightlife,0.0
Airport Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114473,114473,25.241177,55.369374,Dubai,Al Pasha Restaurant & Keyclub,1.0,4b0587ecf964a52005a722e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114473,Wine Bar,Nightlife,-0.17
Abu Baker Al Siddique Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114475,114475,25.26854454115,55.329845769634,Dubai,Piano Lounge,1.0,4b0587ecf964a52008a722e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114475,Cocktail Bar,Nightlife,0.08
Casablanca St. Al Garhoud,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114477,114477,25.247277234333,55.344979763031,Dubai,Rodeo Grill & Bar @ Al Bustan Rotana Dubai,2.0,4b0587ecf964a5200aa722e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114477,Bar,Nightlife,0.42
Al Mina Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114478,114478,25.241902717716,55.278028161973,Dubai,Xanadu,1.0,4b0587ecf964a5200fa722e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114478,Cocktail Bar,Nightlife,0.0
"Tennis Stadium, Aviation Club",attraction,http://tour-pedia.org/api/getPlaceDetails?id=114480,114480,25.242798770361,55.341981053352,Dubai,Da Gama,5.0,4b0587ecf964a52015a722e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114480,Bar,Nightlife,0.09
Jebel Ali Golf Resort & Spa فندق ومنتجع جبل علي للجولف,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114481,114481,24.987638,55.023284,Dubai,Club Joumana Sports Cafe,2.0,4b0587ecf964a52017a722e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114481,Sports Bar,Nightlife,0.25
Al Diyafah Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114482,114482,25.235286718673,55.279744658475,Dubai,Cactus Cantina,11.0,4b0587ecf964a5201aa722e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114482,Bar,Nightlife,0.3
Grosvenor House Dubai,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114486,114486,25.085733329588,55.144173820262,Dubai,Bar 44,15.0,4b0587ecf964a5201fa722e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114486,Cocktail Bar,Nightlife,0.54
Jebel Ali Golf Resort & Spa فندق ومنتجع جبل علي للجولف,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114487,114487,24.987638,55.023284,Dubai,Captain's Bar,1.0,4b0587ecf964a52022a722e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114487,Bar,Nightlife,0.57
"Al Muteena Street, PO Box 25570",attraction,http://tour-pedia.org/api/getPlaceDetails?id=114488,114488,25.273637426986,55.319174103334,Dubai,El Rancho,4.0,4b0587ecf964a52025a722e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114488,Bar,Nightlife,0.12
Jumeirah Beach Hotel,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114493,114493,25.141556,55.190221,Dubai,Dhow and Anchor,4.0,4b0587ecf964a5202da722e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114493,Sports Bar,Nightlife,0.28
"Salah Al Din Road, Deira",attraction,http://tour-pedia.org/api/getPlaceDetails?id=114495,114495,25.270369239919,55.327199332858,Dubai,Harry's Place,2.0,4b0587ecf964a52031a722e3,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114495,Bar,Nightlife,0.19
Al Mateena Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114500,114500,25.274727173984,55.327804225555,Dubai,Lindbergh's Bar,1.0,4b0587ecf964a520f2a622e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114500,Bar,Nightlife,0.57
2nd December Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114501,114501,25.237242916673,55.27413725853,Dubai,Boston Bar @ Jumeira Rotana,6.0,4b0587ecf964a520f3a622e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114501,Bar,Nightlife,0.35
Bur Dubai,attraction,http://tour-pedia.org/api/getPlaceDetails?id=114504,114504,25.257709069241,55.297278630256,Dubai,Goodfellas,4.0,4b0587ecf964a520f6a622e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114504,Bar,Nightlife,-0.01
