address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
60 Hyde Park Gate,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35205,35205,51.501771847178,-0.18470949069146,London,Baglioni Hotel,19.0,4ac518b8f964a52082a120e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35205,Hotel Bar,Nightlife,0.76
"135 Portland Rd., Holland Park",attraction,http://tour-pedia.org/api/getPlaceDetails?id=35229,35229,51.510184936498,-0.21039699724624,London,Julie's Restaurant and Champagne Bar,9.0,4ac518baf964a520cfa120e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35229,Wine Bar,Nightlife,0.57
171 Camden High St,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35238,35238,51.538474734153,-0.14243399843682,London,Black Cap,10.0,4ac518baf964a520f8a120e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35238,Gay Bar,Nightlife,0.64
159 Old Brompton Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35245,35245,51.490797,-0.183482,London,Nam Long Le Shaker,15.0,4ac518bbf964a52022a220e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35245,Cocktail Bar,Nightlife,0.05
163 Rotherhithe Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35253,35253,51.504693814844,-0.047776825669425,London,Spice Island,1.0,4ac518bbf964a52042a220e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35253,Bar,Nightlife,0.0
91 - 95 Brick Lane,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35254,35254,51.521569386738,-0.071817209558754,London,Vibe Bar,27.0,4ac518bbf964a52043a220e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35254,Bar,Nightlife,0.36
15 Heddon St,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35258,35258,51.510841367829,-0.13939780116849,London,Strawberry Moons,16.0,4ac518bbf964a52057a220e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35258,Bar,Nightlife,0.23
57 Rupert St,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35259,35259,51.512134541247,-0.13376712799072,London,The Yard,28.0,4ac518bbf964a52059a220e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35259,Gay Bar,Nightlife,0.35
6 Camera Place,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35302,35302,51.4845647,-0.1792662,London,Sporting Page,8.0,4ac518bdf964a520e0a220e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35302,Sports Bar,Nightlife,0.75
82 The Broadway,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35308,35308,51.419632346964,-0.20181057981152,London,Po Na Na Souk Bar,2.0,4ac518bef964a5200ba320e3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35308,Bar,Nightlife,0.75
171 Portobello Rd,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35312,35312,51.514791576043,-0.2044159674635,London,Portobello Star,31.0,4ac518bef964a52018a320e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35312,Bar,Nightlife,0.41
82 Seymour St,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35335,35335,51.514308863471,-0.16165559413911,London,Salt Whisky Bar,31.0,4ac518bff964a52058a320e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35335,Whisky Bar,Nightlife,0.23
1-5 Curtain Rd,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35338,35338,51.521848655379,-0.080777406692505,London,Queen of Hoxton,54.0,4ac518bff964a5205ca320e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35338,Bar,Nightlife,0.4
31-33 Heddon St.,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35340,35340,51.511236595627,-0.13973881421826,London,Icebar by Icehotel,35.0,4ac518bff964a52060a320e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35340,Cocktail Bar,Nightlife,0.45
18-26 Essex Road,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35342,35342,51.568114474226,-0.0022581885799825,London,The Living Room,2.0,4ac518bff964a52067a320e3,0.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35342,Bar,Nightlife,0.45
1 Reuters Plaza,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35343,35343,51.504201480691,-0.019301176071167,London,Smollensky's,13.0,4ac518c0f964a5206ca320e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35343,Bar,Nightlife,0.18
39 Dorset Sq,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35344,35344,51.41375244367,-0.22234179699253,London,The Potting Shed,1.0,4ac518c0f964a5206ea320e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35344,Wine Bar,Nightlife,-0.44
30 John Islip Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35347,35347,51.493168,-0.127154,London,Millbank Lounge,3.0,4ac518c0f964a5207ca320e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35347,Hotel Bar,Nightlife,0.46
"Lynx Way, Silvertown",attraction,http://tour-pedia.org/api/getPlaceDetails?id=35348,35348,51.508564616667,0.039714,London,Fox@Connaught,7.0,4ac518c0f964a52088a320e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35348,Bar,Nightlife,0.66
10 West Temple Sheen,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35349,35349,51.461097497808,-0.27560709271712,London,The Victoria,5.0,4ac518c0f964a5208fa320e3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35349,Bar,Nightlife,0.52
12 Osborn Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35351,35351,51.516667922402,-0.069916595195952,London,The Lane,4.0,4ac518c0f964a52097a320e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35351,Bar,Nightlife,0.29
32-34 Kingsland Rd.,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35360,35360,51.527969819725,-0.077939629554749,London,Dream Bags Jaguar Shoes,35.0,4ac518c0f964a520aea320e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35360,Bar,Nightlife,0.29
1 Whitby St,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35362,35362,51.524242584634,-0.074417183244191,London,Lounge Lover,44.0,4ac518c1f964a520b9a320e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35362,Cocktail Bar,Nightlife,0.5
Mortlake High Street,attraction,http://tour-pedia.org/api/getPlaceDetails?id=35364,35364,51.470663,-0.256625,London,The Depot,6.0,4ac518c1f964a520dca320e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35364,Cocktail Bar,Nightlife,0.33
