address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
8 rue de Navarin,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83256,83256,48.87961034033,2.3393825451216,Paris,Hôtel Amour,60.0,4ac79395f964a52021b820e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83256,Hotel Bar,Nightlife,0.53
99 rue Oberkampf,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83355,83355,48.8654975,2.3766887,Paris,Mécano-Bar,10.0,4adcda04f964a520333221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83355,Bar,Nightlife,0.0
1 rue Théophile Roussel,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83358,83358,48.849622701075,2.377436673654,Paris,Le Baron Rouge,26.0,4adcda04f964a520393221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83358,Wine Bar,Nightlife,0.21
11 Quai François Mauriac,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83383,83383,48.833382225428,2.3792588710785,Paris,Le Batofar,37.0,4adcda05f964a520743221e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83383,Bar,Nightlife,0.55
5 Rue Daunou,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83384,83384,48.869245695676,2.332170009613,Paris,Harry's New York Bar,69.0,4adcda05f964a5207b3221e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83384,Cocktail Bar,Nightlife,0.3
16 rue des Quatre Vents,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83388,83388,48.851820299809,2.3377395841813,Paris,The Moose,61.0,4adcda05f964a520963221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83388,Bar,Nightlife,0.31
25 Rue Frédéric Sauton,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83389,83389,48.850441,2.348763,Paris,The Long Hop,11.0,4adcda05f964a5209a3221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83389,Sports Bar,Nightlife,0.57
71 bd Gouvion Saint-Cyr,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83397,83397,48.880062339663,2.2848123623526,Paris,James Joyce Pub,5.0,4adcda06f964a520bd3221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83397,Sports Bar,Nightlife,0.57
23 rue Gabrielle,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83409,83409,48.885773,2.34061,Paris,Le Rendez-Vous des Amis,23.0,4adcda06f964a520e43221e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83409,Bar,Nightlife,0.27
16 rue Dufrénoy,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83416,83416,48.865932121219,2.2721822450395,Paris,Oum El Banine,1.0,4adcda06f964a520f53221e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83416,Bar,Nightlife,0.27
10 Rue Mouffetard,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83421,83421,48.844554,2.349542,Paris,Le Requin Chagrin,10.0,4adcda07f964a5200d3321e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83421,Bar,Nightlife,0.0
94 rue de Ménilmontant,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83434,83434,48.869173,2.391884,Paris,Le Café des Sports,4.0,4adcda07f964a520573321e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83434,Sports Bar,Nightlife,0.34
5 rue Trousseau,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83439,83439,48.8511579,2.3786311,Paris,The Bottle Shop,11.0,4adcda08f964a520903321e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83439,Bar,Nightlife,0.35
8 rue de Belleville,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83446,83446,48.872475101027,2.3780466634939,Paris,Aux Folies,31.0,4adcda08f964a520a03321e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83446,Bar,Nightlife,0.53
33 Cour Saint-Emilion,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83650,83650,48.833142107784,2.3865222930908,Paris,Chai 33,35.0,4adcda12f964a520563621e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83650,Wine Bar,Nightlife,0.17
98 Quai de la Rapée,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83761,83761,48.846064450919,2.3675107955933,Paris,Salons Vianey,1.0,4adcda22f964a520293a21e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83761,Cocktail Bar,Nightlife,0.61
"16, rue des Dames",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83780,83780,48.885085,2.325222,Paris,Lush Bar,5.0,4af1a870f964a520e9e121e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83780,Bar,Nightlife,0.31
163 avenue de Suffren,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83784,83784,48.845764962508,2.3098094894535,Paris,Le Cristal,14.0,4af1c0c3f964a520d2e221e3,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83784,Bar,Nightlife,0.24
80 Quai de Jemmapes,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83793,83793,48.872576587867,2.365665435791,Paris,Le Comptoir Général,66.0,4af31753f964a52092ea21e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83793,Bar,Nightlife,0.3
74 rue de la Roquette,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83794,83794,48.855902944204,2.3752862345613,Paris,Les Furieux,18.0,4af327b6f964a5203feb21e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83794,Bar,Nightlife,0.3
8 Boulevard Montmartre,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83796,83796,48.871615786505,2.3423790813692,Paris,Café Oz,30.0,4af35879f964a520c7ec21e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83796,Bar,Nightlife,0.19
"40, Rue de Clignancourt",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83800,83800,48.887048,2.3475959308034,Paris,La Chope du Château Rouge,9.0,4af45da8f964a520bcf121e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83800,Bar,Nightlife,0.43
18 rue Alibert,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83805,83805,48.871718024516,2.36778651759,Paris,Le Carillon,25.0,4af58444f964a52088f921e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83805,Bar,Nightlife,0.49
2 rue de Passy,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83808,83808,48.858557,2.284398,Paris,Le Passy,20.0,4af5fdcdf964a520e3ff21e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83808,Bar,Nightlife,0.66
15 rue de Sévigné,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83828,83828,48.856357570993,2.3625755310059,Paris,Le Piment,18.0,4afdaebff964a520ca2922e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83828,Bar,Nightlife,0.0
33 Rue de Montreuil,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83851,83851,48.850497662889,2.3864671828427,Paris,Patrick's,11.0,4b059828f964a5209bdf22e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83851,Sports Bar,Nightlife,0.67
10 rue de la Montagne Saint-Geneviève,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83856,83856,48.849119,2.348657,Paris,La Lucha Libre,10.0,4b06db70f964a52096f122e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83856,Sports Bar,Nightlife,0.56
49 rue Jean-Pierre Timbaud,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83857,83857,48.866874416968,2.3738837242126,Paris,UFO Bar,23.0,4b06f4c6f964a5202bf422e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83857,Bar,Nightlife,-0.06
11 Boulevard de Reuilly,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83876,83876,48.839142,2.390645,Paris,Les Caves de Reuilly,8.0,4b0a8e3af964a520112523e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83876,Wine Bar,Nightlife,-0.06
26 Pl. de la Nation,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83889,83889,48.847389044857,2.3967680098835,Paris,The Irish Corner,15.0,4b0f01d2f964a5200e5e23e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83889,Bar,Nightlife,-0.19
2 rue Valette,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83892,83892,48.848121658557,2.3471311769133,Paris,Le Saint Hilaire,8.0,4b0fc878f964a520dd6423e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83892,Bar,Nightlife,0.57
32 rue des Moines,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83900,83900,48.889029,2.319552,Paris,Le Zinc Café,9.0,4b11854cf964a520637e23e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83900,Bar,Nightlife,0.24
37 Rue des Abbesses,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83908,83908,48.885113,2.337205,Paris,Le Vrai Paris,18.0,4b14da8df964a52009a723e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83908,Bar,Nightlife,0.32
34 Rue Titon,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83911,83911,48.852908,2.386238,Paris,Café Titon,21.0,4b157c60f964a52090ad23e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83911,Bar,Nightlife,0.32
37 Rue Saint-Sauveur,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83926,83926,48.866100584708,2.3483388038034,Paris,Experimental Cocktail Club,56.0,4b181e1cf964a5203acd23e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83926,Cocktail Bar,Nightlife,0.44
10 Rue Oberkampf,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83958,83958,48.863131208948,2.3684896342768,Paris,Le Kitch,25.0,4b1d8891f964a520d51124e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83958,Bar,Nightlife,0.26
16 rue des Bernardins,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83973,83973,48.850394342182,2.3507435796721,Paris,Curio Parlor,41.0,4b1eed41f964a520a42124e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83973,Cocktail Bar,Nightlife,0.51
23 rue Mazarine,attraction,http://tour-pedia.org/api/getPlaceDetails?id=83997,83997,48.854805823576,2.3379042779919,Paris,Prescription Cocktail Club,75.0,4b22eca6f964a5206c5024e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83997,Cocktail Bar,Nightlife,0.43
15 Rue des Archives,attraction,http://tour-pedia.org/api/getPlaceDetails?id=84004,84004,48.858155839296,2.3549157218693,Paris,Le Cox,7.0,4b23dd27f964a5207c5b24e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84004,Gay Bar,Nightlife,0.17
23 Avenue Simón Bolívar,attraction,http://tour-pedia.org/api/getPlaceDetails?id=84011,84011,48.8748812,2.382555,Paris,Le Faitout,6.0,4b252c15f964a5205b6d24e3,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84011,Bar,Nightlife,0.17
