address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186347,186347,42.366615,10.881135,Tuscany,Bar L'Approdo,1.0,4c4228923735be9aad9719a4,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186347,Bar,Nightlife,0.96
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186353,186353,42.36639447817,10.880497518586,Tuscany,Bar Lo Scoglio Da Veo,1.0,4e35403b14952ff6cbc5cbc7,2.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186353,Bar,Nightlife,0.96
Piazza della cisterna 12,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186376,186376,42.365968018738,10.899946742117,Tuscany,La Cisterna,1.0,4e557303b61cc11917f247c8,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186376,Wine Bar,Nightlife,0.96
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186398,186398,42.359424,10.92168,Tuscany,Bar Monti,3.0,4c3f98e7af052d7fd9967a79,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186398,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186402,186402,42.361391164651,10.919317192446,Tuscany,Il Demino,1.0,4e52738422710da1b3de1b20,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186402,Cocktail Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186468,186468,42.748989093026,10.118525176525,Tuscany,Bar Sud Ovest,1.0,51fe54a5498e72c6fab26294,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186468,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186480,186480,42.807363371043,10.140886945261,Tuscany,Beach Bar Le Sirene,3.0,4e41509ad4c0b124a8ec6f56,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186480,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186482,186482,42.807048648574,10.14093617038,Tuscany,Beach Bar Il Gabbiano,1.0,4df326efa809141629a18bb3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186482,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186488,186488,42.733693922466,10.153845038411,Tuscany,Chiosco Del Caloncino,1.0,4c56f6e9cc96c9b65ed7772e,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186488,Bar,Nightlife,0.77
Localita' Pozzatello,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186492,186492,42.785507316265,10.167215363944,Tuscany,Cabinovia,1.0,4e4e346aae6051db8db9a851,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186492,Bar,Nightlife,0.77
Piazza del Castagneto,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186512,186512,42.786961595782,10.183887337127,Tuscany,Bar La Dolce Vita,2.0,4bbf4916006dc9b69549fc3f,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186512,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186515,186515,42.737401816183,10.186147350654,Tuscany,Bar Il Convio Cavoli,1.0,51ffc673498e848343ad19cd,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186515,Bar,Nightlife,0.77
"Viale Aldo Moro, 68",attraction,http://tour-pedia.org/api/getPlaceDetails?id=186519,186519,42.808875492585,10.194137206824,Tuscany,Yachting BAR,1.0,4c700a539c6d6dcbc142d17a,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186519,Bar,Nightlife,0.77
Viale Margherita 72,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186523,186523,42.808868702819,10.194164570583,Tuscany,Slocum,5.0,4c841875e602b1f71b10ac7a,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186523,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186567,186567,42.742767,10.235878229141,Tuscany,Baobab Cafe,6.0,4ca6114cd971b1f7e169fce0,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186567,Bar,Nightlife,0.77
,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186570,186570,42.742728113167,10.236752797733,Tuscany,Bar Bistrot,1.0,4d051154c2e53704c72ebc67,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186570,Bar,Nightlife,0.59
Via Roma,attraction,http://tour-pedia.org/api/getPlaceDetails?id=186571,186571,42.743511,10.234224,Tuscany,El Pimpa,3.0,4d05050dc2e5370455e5bb67,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=186571,Cocktail Bar,Nightlife,0.58
